instance_id,dataset,model,ground_truth_label,predicted_label,confidence,correct,model_refused,prompt_tokens,response_tokens,prompt_hash,jaccard_H_R,jaccard_H_CF,jaccard_H_RO,jaccard_R_CF,jaccard_R_RO,jaccard_CF_RO,kendall_H_RO,normalized_kendall_H_RO,ecs,cf_flip_verified,cf_actual_label,highlighting_parsed,rationale_parsed,counterfactual_parsed,rank_ordering_parsed,cc3_size,cc4_size
sst2_validation_0000,sst2,llama-3.3-70b-versatile,negative,negative,0.97,True,False,290,69,cb4f063c0376ab79,0.4,,0.25,,0.14285714285714285,,,,0.2642857142857143,False,negative,True,True,False,True,1,1
sst2_validation_0001,sst2,llama-3.3-70b-versatile,negative,negative,0.79,True,False,263,43,a447a2ee53afc6bc,0.6666666666666666,,0.6666666666666666,,1.0,,,,0.7777777777777777,False,,True,True,False,True,2,2
sst2_validation_0002,sst2,llama-3.3-70b-versatile,negative,negative,0.79,True,False,272,50,2e2ef0e5cd8ece6c,0.6,,0.6,,1.0,,,,0.7333333333333334,False,negative,True,True,False,True,3,3
sst2_validation_0003,sst2,llama-3.3-70b-versatile,positive,positive,0.79,True,False,279,59,62feda1e67645d47,0.6,,0.6,,1.0,,,,0.7333333333333334,False,positive,True,True,False,True,3,3
sst2_validation_0004,sst2,llama-3.3-70b-versatile,positive,positive,0.97,True,False,282,65,1f15d549cc74ae6d,0.3333333333333333,,0.5,,0.3333333333333333,,,,0.38888888888888884,False,positive,True,True,False,True,1,1
sst2_validation_0005,sst2,llama-3.3-70b-versatile,positive,positive,0.97,True,False,273,55,ac9a9f698f4c0eba,0.6,0.6666666666666666,0.6,0.4,1.0,0.4,,,0.611111111111111,True,negative,True,True,True,True,3,2
sst2_validation_0006,sst2,llama-3.3-70b-versatile,negative,negative,0.79,True,False,268,44,50f5b42b5c34d301,0.4,0.0,0.6,0.25,0.2857142857142857,0.0,,,0.25595238095238093,True,positive,True,True,True,True,2,0
sst2_validation_0007,sst2,llama-3.3-70b-versatile,positive,positive,0.97,True,False,276,40,63718fc189536913,0.6,0.3333333333333333,0.6,0.2,1.0,0.2,,,0.48888888888888893,True,negative,True,True,True,True,3,1
sst2_validation_0008,sst2,llama-3.3-70b-versatile,negative,negative,0.79,True,False,271,48,b00a643964e1a260,1.0,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.14285714285714285,,,0.4444444444444444,True,positive,True,True,True,True,3,1
sst2_validation_0009,sst2,llama-3.3-70b-versatile,positive,positive,0.79,True,False,262,35,741aee97f6968c27,1.0,,,,,,,,,False,,True,True,False,False,0,0
mnli_validation_matched_0000,mnli,llama-3.3-70b-versatile,neutral,contradiction,0.97,False,False,52,1,,,,,,,,,,,False,,False,False,False,False,0,0
mnli_validation_matched_0001,mnli,llama-3.3-70b-versatile,neutral,neutral,0.79,True,False,296,64,9c46ed5be80cbed9,0.0,,,,,,,,,False,,True,True,False,False,0,0
mnli_validation_matched_0002,mnli,llama-3.3-70b-versatile,entailment,entailment,0.79,True,False,299,53,3aaebb0a45f286c3,0.6,0.21428571428571427,0.75,0.35714285714285715,0.8,0.2857142857142857,,,0.5011904761904762,True,neutral,True,True,True,True,4,3
mnli_validation_matched_0003,mnli,llama-3.3-70b-versatile,contradiction,contradiction,0.97,True,False,310,73,9603de0e31d8f629,0.6,0.14285714285714285,0.3333333333333333,0.23809523809523808,0.6666666666666666,0.23809523809523808,,,0.36984126984126986,True,neutral,True,True,True,True,5,2
mnli_validation_matched_0004,mnli,llama-3.3-70b-versatile,entailment,entailment,0.79,True,False,305,59,2ca9e2aad190469d,0.6,0.2,0.75,0.3333333333333333,0.8,0.26666666666666666,,,0.4916666666666667,True,neutral,True,True,True,True,4,3
mnli_validation_matched_0005,mnli,llama-3.3-70b-versatile,contradiction,contradiction,0.97,True,False,287,48,18b3b8ffa674b363,0.5,,0.6666666666666666,,0.75,,,,0.6388888888888888,False,contradiction,True,True,False,True,2,2
mnli_validation_matched_0006,mnli,llama-3.3-70b-versatile,neutral,entailment,0.79,False,False,44,1,,,,,,,,,,,False,,False,False,False,False,0,0
mnli_validation_matched_0007,mnli,llama-3.3-70b-versatile,contradiction,contradiction,0.97,True,False,288,48,793a8d1dda9ca3e0,0.6,0.3333333333333333,0.75,0.5555555555555556,0.8,0.4444444444444444,,,0.5805555555555556,True,entailment,True,True,True,True,4,3
mnli_validation_matched_0008,mnli,llama-3.3-70b-versatile,entailment,entailment,0.79,True,False,294,41,9f4a45e5e4e37481,0.6,,0.6,,0.6666666666666666,,,,0.6222222222222222,False,,True,True,False,True,3,3
ag_news_test_0000,ag_news,llama-3.3-70b-versatile,Business,Business,0.79,True,False,300,71,d9cc2f1c2a401c2a,0.6,,0.3333333333333333,,0.42857142857142855,,,,0.45396825396825397,False,,True,True,False,True,2,2
ag_news_test_0001,ag_news,llama-3.3-70b-versatile,World,World,0.79,True,False,308,80,34f8f0bbd178d7da,0.6,,0.6,,1.0,,,,0.7333333333333334,False,World,True,True,False,True,3,3
ag_news_test_0002,ag_news,llama-3.3-70b-versatile,World,World,0.79,True,False,303,72,d1c55024370f2e12,0.6,,0.6,,0.6666666666666666,,,,0.6222222222222222,False,World,True,True,False,True,3,3
ag_news_test_0003,ag_news,llama-3.3-70b-versatile,Sci/Tech,Sci/Tech,0.79,True,False,297,66,362cc0a1227d48a0,0.75,,0.6,,0.5,,,,0.6166666666666667,False,Sci/Tech,True,True,False,True,3,3
ag_news_test_0004,ag_news,llama-3.3-70b-versatile,Business,Sci/Tech,0.79,False,False,50,1,,,,,,,,,,,False,,False,False,False,False,0,0
ag_news_test_0005,ag_news,llama-3.3-70b-versatile,Sci/Tech,World,0.79,False,False,80,1,,,,,,,,,,,False,,False,False,False,False,0,0
ag_news_test_0006,ag_news,llama-3.3-70b-versatile,Sports,Sports,0.79,True,False,294,61,1ed0148e7838e3a9,0.3333333333333333,,0.6,,0.6666666666666666,,,,0.5333333333333333,False,Sports,True,True,False,True,2,2
ag_news_test_0007,ag_news,llama-3.3-70b-versatile,Sports,Sports,0.97,True,False,308,82,97373d2318f574eb,0.14285714285714285,,0.6,,0.42857142857142855,,,,0.3904761904761905,False,Sports,True,True,False,True,1,1
