instance_id,dataset,model,ground_truth_label,predicted_label,confidence,correct,model_refused,prompt_tokens,response_tokens,prompt_hash,jaccard_H_R,jaccard_H_CF,jaccard_H_RO,jaccard_R_CF,jaccard_R_RO,jaccard_CF_RO,kendall_H_RO,normalized_kendall_H_RO,ecs,cf_flip_verified,cf_actual_label,highlighting_parsed,rationale_parsed,counterfactual_parsed,rank_ordering_parsed,cc3_size,cc4_size
sst2_validation_0000,sst2,openai/gpt-oss-120b,negative,,0.0,False,False,50,0,,,,,,,,,,,False,,False,False,False,False,0,0
sst2_validation_0001,sst2,openai/gpt-oss-120b,negative,,0.0,False,False,23,0,,,,,,,,,,,False,,False,False,False,False,0,0
sst2_validation_0002,sst2,openai/gpt-oss-120b,negative,,0.0,False,False,32,0,,,,,,,,,,,False,,False,False,False,False,0,0
sst2_validation_0003,sst2,openai/gpt-oss-120b,positive,,0.0,False,False,39,0,,,,,,,,,,,False,,False,False,False,False,0,0
sst2_validation_0004,sst2,openai/gpt-oss-120b,positive,,0.0,False,False,42,0,,,,,,,,,,,False,,False,False,False,False,0,0
sst2_validation_0005,sst2,openai/gpt-oss-120b,positive,,0.0,False,False,33,0,,,,,,,,,,,False,,False,False,False,False,0,0
sst2_validation_0006,sst2,openai/gpt-oss-120b,negative,,0.0,False,False,28,0,,,,,,,,,,,False,,False,False,False,False,0,0
sst2_validation_0007,sst2,openai/gpt-oss-120b,positive,,0.0,False,False,36,0,,,,,,,,,,,False,,False,False,False,False,0,0
sst2_validation_0008,sst2,openai/gpt-oss-120b,negative,,0.0,False,False,31,0,,,,,,,,,,,False,,False,False,False,False,0,0
sst2_validation_0009,sst2,openai/gpt-oss-120b,positive,,0.0,False,False,22,0,,,,,,,,,,,False,,False,False,False,False,0,0
mnli_validation_matched_0000,mnli,openai/gpt-oss-120b,neutral,,0.0,False,False,52,0,,,,,,,,,,,False,,False,False,False,False,0,0
mnli_validation_matched_0001,mnli,openai/gpt-oss-120b,neutral,,0.0,False,False,56,0,,,,,,,,,,,False,,False,False,False,False,0,0
mnli_validation_matched_0002,mnli,openai/gpt-oss-120b,entailment,,0.0,False,False,59,0,,,,,,,,,,,False,,False,False,False,False,0,0
mnli_validation_matched_0003,mnli,openai/gpt-oss-120b,contradiction,,0.0,False,False,70,0,,,,,,,,,,,False,,False,False,False,False,0,0
mnli_validation_matched_0004,mnli,openai/gpt-oss-120b,entailment,,0.0,False,False,65,0,,,,,,,,,,,False,,False,False,False,False,0,0
mnli_validation_matched_0005,mnli,openai/gpt-oss-120b,contradiction,,0.0,False,False,47,0,,,,,,,,,,,False,,False,False,False,False,0,0
mnli_validation_matched_0006,mnli,openai/gpt-oss-120b,neutral,,0.0,False,False,44,0,,,,,,,,,,,False,,False,False,False,False,0,0
mnli_validation_matched_0007,mnli,openai/gpt-oss-120b,contradiction,,0.0,False,False,48,0,,,,,,,,,,,False,,False,False,False,False,0,0
mnli_validation_matched_0008,mnli,openai/gpt-oss-120b,entailment,,0.0,False,False,54,0,,,,,,,,,,,False,,False,False,False,False,0,0
ag_news_test_0000,ag_news,openai/gpt-oss-120b,Business,Business,0.0,True,False,300,25,d9cc2f1c2a401c2a,0.25,,0.25,,0.6666666666666666,,,,0.38888888888888884,False,,True,True,False,True,1,1
ag_news_test_0001,ag_news,openai/gpt-oss-120b,World,,0.0,False,False,68,0,,,,,,,,,,,False,,False,False,False,False,0,0
ag_news_test_0002,ag_news,openai/gpt-oss-120b,World,World,0.9199999999999999,True,False,303,27,d1c55024370f2e12,,,,,0.6666666666666666,,,,,False,,False,True,False,True,0,0
ag_news_test_0003,ag_news,openai/gpt-oss-120b,Sci/Tech,Sci/Tech,0.76,True,False,297,24,362cc0a1227d48a0,1.0,,1.0,,1.0,,1.0,1.0,1.0,False,,True,True,False,True,5,5
ag_news_test_0004,ag_news,openai/gpt-oss-120b,Business,,0.0,False,False,50,0,,,,,,,,,,,False,,False,False,False,False,0,0
ag_news_test_0005,ag_news,openai/gpt-oss-120b,Sci/Tech,,0.0,False,False,80,0,,,,,,,,,,,False,,False,False,False,False,0,0
ag_news_test_0006,ag_news,openai/gpt-oss-120b,Sports,,0.0,False,False,54,0,,,,,,,,,,,False,,False,False,False,False,0,0
ag_news_test_0007,ag_news,openai/gpt-oss-120b,Sports,,0.0,False,False,68,0,,,,,,,,,,,False,,False,False,False,False,0,0
