instance_id,dataset,model,ground_truth_label,predicted_label,confidence,correct,model_refused,prompt_tokens,response_tokens,prompt_hash,jaccard_H_R,jaccard_H_CF,jaccard_H_RO,jaccard_R_CF,jaccard_R_RO,jaccard_CF_RO,overlap_H_R,overlap_H_CF,overlap_H_RO,overlap_R_CF,overlap_R_RO,overlap_CF_RO,rbo_H_RO,kendall_H_RO,normalized_kendall_H_RO,ecs,ecs_extraction_rationale,ecs_extraction_perturbation,ecs_primary_pairs,cf_flip_verified,cf_actual_label,highlighting_parsed,rationale_parsed,counterfactual_parsed,rank_ordering_parsed,cc3_size,cc4_size
sst2_validation_000665,sst2,llama-3.3-70b-versatile,positive,positive,0.0,True,False,1662,293,3c96c3fc1045fafc,,0.0,0.4,,,0.0,,0.0,0.6666666666666666,,,0.0,0.17481599999999994,,,0.0,,0.0,1,True,negative,True,False,True,True,0,0
sst2_validation_000657,sst2,llama-3.3-70b-versatile,negative,negative,0.0,True,False,1913,263,b68aba988a2aa373,,0.3333333333333333,1.0,,,0.3333333333333333,,1.0,1.0,,,1.0,0.22004099999999996,,,0.3333333333333333,,0.3333333333333333,1,True,positive,True,False,True,True,1,1
sst2_validation_000361,sst2,llama-3.3-70b-versatile,negative,negative,0.0,True,False,2918,474,53ae850b6f80a8dd,0.125,,0.5,,0.375,,0.5,,1.0,,0.75,,0.2804499999999999,,,0.25,0.125,,1,False,negative,True,True,False,True,1,1
sst2_validation_000394,sst2,llama-3.3-70b-versatile,positive,positive,0.0,True,False,2866,464,67a8763d00facc6b,,0.14285714285714285,0.5,,,0.2,,1.0,0.8,,,1.0,0.2979335571428571,0.6666666666666669,0.8333333333333335,0.17142857142857143,,0.14285714285714285,1,True,negative,True,False,True,True,1,1
sst2_validation_000228,sst2,llama-3.3-70b-versatile,positive,positive,0.0,True,False,1598,253,121db9f475afa812,0.0,0.25,,0.0,,,0.0,0.5,,0.0,,,,,,0.08333333333333333,0.0,0.25,2,True,negative,True,True,True,False,0,0
sst2_validation_000188,sst2,llama-3.3-70b-versatile,negative,negative,0.0,True,False,2757,429,6c16dd54d427ba05,0.0,,0.5,,0.0,,0.0,,0.6666666666666666,,0.0,,0.18044999999999997,,,0.0,0.0,,1,False,negative,True,True,False,True,0,0
sst2_validation_000513,sst2,llama-3.3-70b-versatile,negative,negative,0.0,True,False,2677,422,66ffc0207e802d03,,0.16666666666666666,0.2857142857142857,,,0.2,,0.5,0.5,,,0.5,0.23615199999999995,,,0.18333333333333335,,0.16666666666666666,1,True,positive,True,False,True,True,1,1
sst2_validation_000010,sst2,llama-3.3-70b-versatile,positive,positive,0.0,True,False,2480,322,d9ae1018167dba5e,0.0,,0.5,,0.0,,0.0,,0.6666666666666666,,0.0,,0.29304099999999994,,,0.0,0.0,,1,False,positive,True,True,False,True,0,0
sst2_validation_000529,sst2,llama-3.3-70b-versatile,negative,negative,0.0,True,False,3013,435,b04c96a0a49e1956,0.0,,0.6666666666666666,,0.0,,0.0,,0.8,,0.0,,0.18793799999999997,0.6666666666666669,0.8333333333333335,0.0,0.0,,1,False,negative,True,True,False,True,0,0
sst2_validation_000007,sst2,llama-3.3-70b-versatile,negative,negative,0.0,True,False,1851,231,bed5ce4a26311b72,0.25,0.5,0.6666666666666666,0.3333333333333333,0.2,0.3333333333333333,0.5,1.0,1.0,1.0,0.3333333333333333,1.0,0.24399999999999994,,,0.3233333333333333,0.25,0.5,2,True,positive,True,True,True,True,1,1
