instance_id,dataset,model,ground_truth_label,predicted_label,confidence,correct,model_refused,prompt_tokens,response_tokens,prompt_hash,jaccard_H_R,jaccard_H_CF,jaccard_H_RO,jaccard_R_CF,jaccard_R_RO,jaccard_CF_RO,overlap_H_R,overlap_H_CF,overlap_H_RO,overlap_R_CF,overlap_R_RO,overlap_CF_RO,rbo_H_RO,kendall_H_RO,normalized_kendall_H_RO,ecs,ecs_extraction_rationale,ecs_extraction_perturbation,ecs_primary_pairs,cf_flip_verified,cf_actual_label,highlighting_parsed,rationale_parsed,counterfactual_parsed,rank_ordering_parsed,cc3_size,cc4_size
sst2_validation_000665,sst2,llama-3.3-70b-versatile,positive,positive,0.0,True,False,1774,341,3c96c3fc1045fafc,0.0,0.1,0.4,0.0,0.0,0.1111111111111111,0.0,0.25,0.6666666666666666,0.0,0.0,0.3333333333333333,0.18044999999999997,,,0.042222222222222223,0.0,0.10555555555555556,4,True,negative,True,True,True,True,0,0
sst2_validation_000657,sst2,llama-3.3-70b-versatile,negative,negative,0.0,True,False,1553,247,b68aba988a2aa373,0.5,0.6666666666666666,0.5,0.3333333333333333,0.2857142857142857,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.19899999999999995,,,0.4904761904761904,0.39285714285714285,0.6666666666666666,4,True,positive,True,True,True,True,2,2
sst2_validation_000361,sst2,llama-3.3-70b-versatile,negative,negative,0.0,True,False,2164,367,53ae850b6f80a8dd,0.5,,0.75,,0.3333333333333333,,0.75,,1.0,,0.6666666666666666,,0.32567499999999994,,,0.41666666666666663,0.41666666666666663,,2,False,negative,True,True,False,True,2,2
sst2_validation_000394,sst2,llama-3.3-70b-versatile,positive,positive,0.0,True,False,2358,482,67a8763d00facc6b,0.1111111111111111,0.14285714285714285,0.42857142857142855,0.3333333333333333,0.2,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.39034154285714273,,,0.2241269841269841,0.15555555555555556,0.23809523809523808,4,True,negative,True,True,True,True,1,1
sst2_validation_000228,sst2,llama-3.3-70b-versatile,positive,positive,0.0,True,False,1563,281,121db9f475afa812,0.3333333333333333,0.5,1.0,0.14285714285714285,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.17099999999999996,,,0.36190476190476184,0.3333333333333333,0.5,4,True,negative,True,True,True,True,3,1
sst2_validation_000188,sst2,llama-3.3-70b-versatile,negative,negative,0.0,True,False,1624,292,6c16dd54d427ba05,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.24399999999999994,,,0.7333333333333332,0.6666666666666666,0.6666666666666666,4,True,positive,True,True,True,True,2,2
sst2_validation_000513,sst2,llama-3.3-70b-versatile,negative,negative,0.0,True,False,2036,444,66ffc0207e802d03,0.14285714285714285,0.2857142857142857,,0.25,,,0.5,0.6666666666666666,,0.5,,,,,,0.2261904761904762,0.14285714285714285,0.2857142857142857,2,True,positive,True,True,True,False,1,1
mnli_validation_matched_007919,mnli,llama-3.3-70b-versatile,neutral,entailment,0.0,False,False,1767,260,82c03589065d7755,0.25,0.2,,0.0,,,0.5,0.3333333333333333,,0.0,,,,,,0.15,0.25,0.2,2,True,neutral,True,True,True,False,0,0
mnli_validation_matched_008565,mnli,llama-3.3-70b-versatile,entailment,entailment,0.0,True,False,3071,530,f71b2f7bec2f3b88,0.42857142857142855,0.16666666666666666,0.5,0.0,0.4,0.3333333333333333,0.75,1.0,1.0,0.0,0.6666666666666666,1.0,0.11318849999999996,,,0.2657142857142857,0.41428571428571426,0.25,4,True,contradiction,True,True,True,True,3,0
mnli_validation_matched_009319,mnli,llama-3.3-70b-versatile,neutral,entailment,0.0,False,False,2729,530,37f688ab6ac9c2c5,0.2,0.3333333333333333,0.375,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5,0.75,1.0,0.5,0.3333333333333333,0.3333333333333333,0.4352776766071428,,,0.24000000000000005,0.18333333333333335,0.25,4,True,contradiction,True,True,True,True,2,1
mnli_validation_matched_007354,mnli,llama-3.3-70b-versatile,entailment,entailment,0.0,True,False,1409,331,d03a6bac45bd33be,0.25,0.2,,0.0,,,1.0,0.5,,0.0,,,,,,0.15,0.25,0.2,2,True,contradiction,True,True,True,False,0,0
