instance_id,dataset,model,ground_truth_label,predicted_label,confidence,correct,model_refused,prompt_tokens,response_tokens,prompt_hash,jaccard_H_R,jaccard_H_CF,jaccard_H_RO,jaccard_R_CF,jaccard_R_RO,jaccard_CF_RO,overlap_H_R,overlap_H_CF,overlap_H_RO,overlap_R_CF,overlap_R_RO,overlap_CF_RO,rbo_H_RO,kendall_H_RO,normalized_kendall_H_RO,ecs,ecs_extraction_rationale,ecs_extraction_perturbation,ecs_primary_pairs,cf_flip_verified,cf_actual_label,highlighting_parsed,rationale_parsed,counterfactual_parsed,rank_ordering_parsed,cc3_size,cc4_size
sst2_validation_000665,sst2,llama-3.3-70b-versatile,positive,positive,0.0,True,False,1789,339,3c96c3fc1045fafc,0.0,0.1,0.4,0.0,0.0,0.1111111111111111,0.0,0.25,0.6666666666666666,0.0,0.0,0.3333333333333333,0.18044999999999997,,,0.042222222222222223,0.0,0.1,2,True,negative,True,True,True,True,0,0
sst2_validation_000657,sst2,llama-3.3-70b-versatile,negative,negative,0.0,True,False,1553,247,b68aba988a2aa373,0.75,0.6666666666666666,0.5,0.5,0.4,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.19899999999999995,,,0.5966666666666666,0.75,0.6666666666666666,2,True,positive,True,True,True,True,2,2
sst2_validation_000361,sst2,llama-3.3-70b-versatile,negative,negative,0.0,True,False,2172,367,53ae850b6f80a8dd,0.5,,0.75,,0.3333333333333333,,0.75,,1.0,,0.6666666666666666,,0.32567499999999994,,,0.41666666666666663,0.5,,1,False,negative,True,True,False,True,2,2
sst2_validation_000394,sst2,llama-3.3-70b-versatile,positive,positive,0.0,True,False,2357,511,67a8763d00facc6b,0.25,0.14285714285714285,0.42857142857142855,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,1.0,0.39034154285714273,,,0.3119047619047619,0.25,0.14285714285714285,2,True,negative,True,True,True,True,2,1
sst2_validation_000228,sst2,llama-3.3-70b-versatile,positive,positive,0.0,True,False,1563,282,121db9f475afa812,0.6,0.5,1.0,0.3333333333333333,0.6,0.5,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,0.17099999999999996,,,0.5066666666666666,0.6,0.5,2,True,negative,True,True,True,True,3,2
sst2_validation_000188,sst2,llama-3.3-70b-versatile,negative,negative,0.0,True,False,1624,290,6c16dd54d427ba05,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.24399999999999994,,,0.7333333333333332,0.6666666666666666,0.6666666666666666,2,True,positive,True,True,True,True,2,2
sst2_validation_000513,sst2,llama-3.3-70b-versatile,negative,negative,0.0,True,False,2030,425,66ffc0207e802d03,0.14285714285714285,0.2857142857142857,,0.0,,,0.3333333333333333,0.6666666666666666,,0.0,,,,,,0.14285714285714285,0.14285714285714285,0.2857142857142857,2,True,positive,True,True,True,False,0,0
mnli_validation_matched_007919,mnli,llama-3.3-70b-versatile,neutral,entailment,0.0,False,False,1761,260,82c03589065d7755,1.0,0.2,,0.2,,,1.0,0.3333333333333333,,0.3333333333333333,,,,,,0.4666666666666666,1.0,0.2,2,True,neutral,True,True,True,False,1,1
mnli_validation_matched_008565,mnli,llama-3.3-70b-versatile,entailment,entailment,0.0,True,False,3036,530,f71b2f7bec2f3b88,0.6666666666666666,0.16666666666666666,0.5,0.25,0.75,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.11318849999999996,,,0.4333333333333333,0.6666666666666666,0.16666666666666666,2,True,contradiction,True,True,True,True,3,1
mnli_validation_matched_009319,mnli,llama-3.3-70b-versatile,neutral,entailment,0.0,False,False,2727,535,37f688ab6ac9c2c5,0.625,0.3333333333333333,0.375,0.2857142857142857,0.6,0.16666666666666666,1.0,0.75,1.0,0.5,1.0,0.3333333333333333,0.2632776766071428,,,0.40214285714285714,0.625,0.3333333333333333,2,True,contradiction,True,True,True,True,4,1
