instance_id,dataset,model,ground_truth_label,predicted_label,confidence,correct,model_refused,prompt_tokens,response_tokens,prompt_hash,jaccard_H_R,jaccard_H_CF,jaccard_H_RO,jaccard_R_CF,jaccard_R_RO,jaccard_CF_RO,overlap_H_R,overlap_H_CF,overlap_H_RO,overlap_R_CF,overlap_R_RO,overlap_CF_RO,rbo_H_RO,kendall_H_RO,normalized_kendall_H_RO,ecs,ecs_overlap,ecs_random,ecs_lift,ecs_random_weighted,ecs_lift_weighted,ecs_extraction_rationale,ecs_extraction_perturbation,ecs_primary_pairs,ecs_adj,ecs_adj_er,ecs_adj_ep,ecs_adj_rp,ecs_adj_n_components,ecs_adj_complete,n_degenerate_pairs,cf_flip_verified,cf_valid_first_attempt,cf_corrected,ro_self_corrected,cf_actual_label,highlighting_parsed,rationale_parsed,counterfactual_parsed,rank_ordering_parsed,cc3_size,cc4_size
sst2_validation_000057,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.85,True,False,1216,288,6a5038f481bc9a4e,0.3333333333333333,,0.5,,0.0,,1.0,,0.6666666666666666,,0.0,,0.29304099999999994,,,0.16666666666666666,0.5,0.1683333333333325,-0.0016666666666658447,0.17291666666666555,-0.006249999999998895,0.16666666666666666,,2,0.0,0.0,,,1,False,0,False,False,False,False,negative,True,True,False,True,0,0
sst2_validation_000515,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.95,True,False,1302,367,e8b94b6ffa71bf91,0.25,0.6666666666666666,1.0,0.3333333333333333,0.25,0.6666666666666666,0.5,1.0,1.0,0.5,0.5,1.0,0.36504099999999995,,,0.4333333333333333,0.7,0.19655000000000025,0.23678333333333304,0.20488333333333336,0.22844999999999993,0.25,0.6666666666666666,4,0.4283933302166121,0.09677419354838712,1.0,0.18840579710144928,3,True,0,True,True,False,True,positive,True,True,True,True,2,1
sst2_validation_000010,sst2,eu.amazon.nova-pro-v1:0,positive,positive,0.95,True,False,950,324,d9ae1018167dba5e,0.2,,0.5,,0.0,,0.3333333333333333,,0.6666666666666666,,0.0,,0.31981599999999993,,,0.1,0.16666666666666666,0.25849999999999573,-0.15849999999999573,0.2701999999999966,-0.1701999999999966,0.1,,2,-0.21445783132530122,-0.21445783132530122,,,1,False,0,False,False,False,False,,True,True,False,True,0,0
sst2_validation_000438,sst2,eu.amazon.nova-pro-v1:0,positive,positive,0.95,True,False,1494,630,033021dbf6989281,0.25,0.5,0.625,0.2,0.16666666666666666,0.8,1.0,1.0,1.0,0.5,0.5,1.0,0.4134491276785714,0.7999999999999999,0.8999999999999999,0.38333333333333336,0.8,0.10769079004328938,0.275642543290044,0.10955507215007147,0.2737782611832619,0.20833333333333331,0.65,4,0.639943438914027,0.6325,1.0,0.2873303167420814,3,True,0,True,True,False,False,negative,True,True,True,True,4,1
sst2_validation_000408,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.9,True,False,1500,463,3aab3e7f7505da96,0.25,,0.6,,0.25,,1.0,,0.75,,1.0,,0.33316299999999993,0.6666666666666669,0.8333333333333335,0.25,1.0,0.0725,0.1775,0.072375,0.177625,0.25,,2,1.0,1.0,,,1,False,0,False,False,False,False,negative,True,True,False,True,1,1
sst2_validation_000335,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.9,True,False,1894,515,fba0adec78e4babf,0.4,,0.6666666666666666,,0.4,,1.0,,0.8,,1.0,,0.18793799999999997,0.0,0.5,0.4,1.0,0.15087499999999987,0.24912500000000015,0.15333333333333315,0.24666666666666687,0.4,,2,1.0,1.0,,,1,False,0,False,False,False,True,negative,True,True,False,True,2,2
sst2_validation_000468,sst2,eu.amazon.nova-pro-v1:0,positive,positive,0.95,True,False,963,297,7128dbb458acfa5f,0.75,0.6666666666666666,0.5,0.5,0.75,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.19304099999999996,,,0.6666666666666666,1.0,0.28644999999999626,0.38021666666667037,0.29794999999999594,0.3687166666666707,0.75,0.6666666666666666,4,1.0,1.0,1.0,1.0,3,True,0,True,True,False,False,negative,True,True,True,True,2,2
sst2_validation_000340,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.95,True,False,1397,453,a1c53af28147386e,0.6,,0.6,,1.0,,0.75,,0.75,,1.0,,0.19867499999999996,,,0.8,0.875,0.28003333333333597,0.519966666666664,0.283247619047621,0.5167523809523791,0.8,,2,0.7257974258533856,0.7257974258533856,,,1,False,0,False,False,False,True,,True,True,False,True,3,3
sst2_validation_000170,sst2,eu.amazon.nova-pro-v1:0,positive,positive,0.95,True,False,1144,297,cf60c147640b2271,0.6666666666666666,0.3333333333333333,0.5,0.5,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.19867499999999996,,,0.5,1.0,0.33689166666666187,0.16310833333333813,0.34624999999999495,0.15375000000000505,0.6666666666666666,0.3333333333333333,4,1.0,1.0,,1.0,2,False,2,True,True,False,True,negative,True,True,True,True,2,1
sst2_validation_000594,sst2,eu.amazon.nova-pro-v1:0,positive,positive,0.95,True,False,1178,483,b272b56859a7c18f,0.25,,0.25,,0.0,,0.4,,0.4,,0.0,,0.044468999999999995,,,0.125,0.2,0.2003154761904735,-0.07531547619047349,0.20269047619047348,-0.07769047619047348,0.125,,2,-0.09237898862870789,-0.09237898862870789,,,1,False,0,False,False,False,False,,True,True,False,True,0,0
