instance_id,dataset,model,ground_truth_label,predicted_label,confidence,correct,model_refused,prompt_tokens,response_tokens,prompt_hash,jaccard_H_R,jaccard_H_CF,jaccard_H_RO,jaccard_R_CF,jaccard_R_RO,jaccard_CF_RO,kendall_H_RO,normalized_kendall_H_RO,ecs,cf_flip_verified,cf_actual_label,highlighting_parsed,rationale_parsed,counterfactual_parsed,rank_ordering_parsed,cc3_size,cc4_size
sst2_validation_0000,sst2,openai/gpt-oss-120b,negative,negative,0.85,True,False,293,31,ebbb14848c53a1f0,0.5,,0.42857142857142855,,0.2857142857142857,,0.33333333333333337,0.6666666666666667,0.4047619047619048,False,negative,True,True,False,True,1,1
sst2_validation_0001,sst2,openai/gpt-oss-120b,negative,positive,0.92,False,False,26,1,,,,,,,,,,,False,,False,False,False,False,0,0
sst2_validation_0002,sst2,openai/gpt-oss-120b,negative,negative,0.95,True,False,275,31,632f05c570eb9781,1.0,,1.0,,1.0,,0.39999999999999997,0.7,1.0,False,negative,True,True,False,True,5,5
sst2_validation_0003,sst2,openai/gpt-oss-120b,positive,positive,0.95,True,False,282,25,6d3cc2d0162fdf8d,0.6666666666666666,,0.8,,0.5,,0.3333333333333334,0.6666666666666667,0.6555555555555556,False,positive,True,True,False,True,3,3
sst2_validation_0004,sst2,openai/gpt-oss-120b,positive,positive,0.95,True,False,285,24,fe82006ca66ed1f5,1.0,0.2,1.0,0.2,1.0,0.2,0.6,0.8,0.6000000000000001,True,negative,True,True,True,True,5,1
sst2_validation_0005,sst2,openai/gpt-oss-120b,positive,positive,0.95,True,False,276,21,3fffe17d808c5583,1.0,0.2,0.6666666666666666,0.2,0.6666666666666666,0.2,1.0,1.0,0.48888888888888893,True,negative,True,True,True,True,4,1
sst2_validation_0006,sst2,openai/gpt-oss-120b,negative,negative,0.7,True,False,271,21,19716630de352c04,0.14285714285714285,,0.6,,0.2,,1.0,1.0,0.3142857142857143,False,negative,True,True,False,True,1,1
sst2_validation_0007,sst2,openai/gpt-oss-120b,positive,positive,0.95,True,False,279,27,461ce7d654cf73ea,1.0,0.2,0.8,0.2,0.8,0.25,1.0,1.0,0.5416666666666666,True,negative,True,True,True,True,4,1
sst2_validation_0008,sst2,openai/gpt-oss-120b,negative,negative,0.85,True,False,274,25,68ac624bb5647ef1,1.0,,1.0,,1.0,,0.9999999999999999,1.0,1.0,False,negative,True,True,False,True,5,5
sst2_validation_0009,sst2,openai/gpt-oss-120b,positive,positive,0.8,True,False,265,23,0e78d798fc6c570a,,,,0.5,,,,,,True,negative,False,True,True,False,0,0
mnli_validation_matched_0000,mnli,openai/gpt-oss-120b,neutral,neutral,0.9,True,False,295,57,ccd9492861a422f2,0.6,,0.6,,0.3333333333333333,,,,0.5111111111111111,False,,True,True,False,True,2,2
mnli_validation_matched_0001,mnli,openai/gpt-oss-120b,neutral,neutral,0.9,True,False,299,35,5d436fd01abbdb0b,0.5,,0.6,,0.8,,-0.33333333333333337,0.3333333333333333,0.6333333333333334,False,,True,True,False,True,3,3
mnli_validation_matched_0002,mnli,openai/gpt-oss-120b,entailment,entailment,0.95,True,False,302,42,ed542e8118eca549,0.8,0.25,0.8,0.2,0.6666666666666666,0.2,1.0,1.0,0.48611111111111116,True,contradiction,True,True,True,True,4,1
mnli_validation_matched_0003,mnli,openai/gpt-oss-120b,contradiction,contradiction,0.95,True,False,313,24,fd7769715006e52e,0.6666666666666666,,0.5,,0.5,,,,0.5555555555555555,False,,True,True,False,True,3,3
mnli_validation_matched_0004,mnli,openai/gpt-oss-120b,entailment,entailment,0.95,True,False,308,29,b34d47449d2d0db3,0.75,0.3333333333333333,0.75,0.25,1.0,0.25,1.0,1.0,0.5555555555555555,True,contradiction,True,True,True,True,3,1
mnli_validation_matched_0005,mnli,openai/gpt-oss-120b,contradiction,contradiction,0.95,True,False,290,26,2f89b9a7a4a49b69,0.4,,0.6666666666666666,,0.5,,0.6666666666666669,0.8333333333333335,0.5222222222222223,False,,True,True,False,True,2,2
mnli_validation_matched_0006,mnli,openai/gpt-oss-120b,neutral,neutral,0.7,True,False,287,29,f92a3adae42b6d61,0.25,,1.0,,0.25,,0.39999999999999997,0.7,0.5,False,,True,True,False,True,2,2
mnli_validation_matched_0007,mnli,openai/gpt-oss-120b,contradiction,contradiction,0.95,True,False,291,27,728037a82366269d,0.5,,1.0,,0.5,,0.9999999999999999,1.0,0.6666666666666666,False,,True,True,False,True,3,3
mnli_validation_matched_0008,mnli,openai/gpt-oss-120b,entailment,neutral,0.9,False,False,57,6,,,,,,,,,,,False,,False,False,False,False,0,0
ag_news_test_0000,ag_news,openai/gpt-oss-120b,Business,Business,0.95,True,False,303,25,6158484b6651713a,0.25,,1.0,,0.25,,0.6,0.8,0.5,False,,True,True,False,True,2,2
ag_news_test_0001,ag_news,openai/gpt-oss-120b,World,World,0.95,True,False,311,35,508b76f724cb3bc4,0.25,,0.42857142857142855,,0.1111111111111111,,,,0.26322751322751325,False,,True,True,False,True,1,1
ag_news_test_0002,ag_news,openai/gpt-oss-120b,World,World,0.95,True,False,306,35,8b17fb3cdddebeb7,,,,,0.6666666666666666,,,,,False,,False,True,False,True,0,0
ag_news_test_0003,ag_news,openai/gpt-oss-120b,Sci/Tech,Sci/Tech,0.95,True,False,300,35,1662f7e986ec19ce,1.0,,1.0,,1.0,,1.0,1.0,1.0,False,Sci/Tech,True,True,False,True,5,5
ag_news_test_0004,ag_news,openai/gpt-oss-120b,Business,Business,0.7,True,False,293,38,8a64396178009ff8,0.42857142857142855,,1.0,,0.42857142857142855,,1.0,1.0,0.6190476190476191,False,Business,True,True,False,True,3,3
ag_news_test_0005,ag_news,openai/gpt-oss-120b,Sci/Tech,Sci/Tech,0.7,True,False,323,53,ce6a7f2c178e4783,0.5,,0.6666666666666666,,0.8,,1.0,1.0,0.6555555555555556,False,,True,True,False,True,3,3
ag_news_test_0006,ag_news,openai/gpt-oss-120b,Sports,Sports,0.95,True,False,297,35,265eb84f94f4d713,,,,,0.25,,,,,False,Sports,False,True,False,True,0,0
ag_news_test_0007,ag_news,openai/gpt-oss-120b,Sports,Sports,0.95,True,False,311,40,41f4d8d8e7436a00,1.0,,0.42857142857142855,,0.42857142857142855,,,,0.6190476190476191,False,Sports,True,True,False,True,3,3
