instance_id,dataset,model,ground_truth_label,predicted_label,confidence,correct,model_refused,prompt_tokens,response_tokens,prompt_hash,jaccard_H_R,jaccard_H_CF,jaccard_H_RO,jaccard_R_CF,jaccard_R_RO,jaccard_CF_RO,overlap_H_R,overlap_H_CF,overlap_H_RO,overlap_R_CF,overlap_R_RO,overlap_CF_RO,rbo_H_RO,kendall_H_RO,normalized_kendall_H_RO,ecs,ecs_extraction_rationale,ecs_extraction_perturbation,ecs_primary_pairs,cf_flip_verified,cf_actual_label,highlighting_parsed,rationale_parsed,counterfactual_parsed,rank_ordering_parsed,cc3_size,cc4_size
sst2_validation_0000,sst2,llama-3.3-70b-versatile,negative,negative,0.0,True,False,386,130,cb4f063c0376ab79,0.2,0.3333333333333333,0.25,0.0,0.0,0.5,1.0,0.6,0.4,0.0,0.0,0.8,0.21646899999999997,,,0.20666666666666664,0.2,0.3333333333333333,2,True,positive,True,True,True,True,2,0
sst2_validation_0001,sst2,llama-3.3-70b-versatile,negative,negative,0.0,True,False,359,58,a447a2ee53afc6bc,0.3333333333333333,,1.0,,0.3333333333333333,,1.0,,1.0,,1.0,,0.22004099999999996,,,0.3333333333333333,0.3333333333333333,,1,False,negative,True,True,False,True,1,1
sst2_validation_0002,sst2,llama-3.3-70b-versatile,negative,negative,0.0,True,False,368,72,2e2ef0e5cd8ece6c,0.0,0.16666666666666666,0.42857142857142855,0.0,0.2,0.4,0.0,0.5,0.6,0.0,1.0,1.0,0.129816,,,0.15333333333333335,0.0,0.16666666666666666,2,True,positive,True,True,True,True,1,0
sst2_validation_0003,sst2,llama-3.3-70b-versatile,positive,positive,0.0,True,False,375,95,62feda1e67645d47,0.0,0.4,0.5,0.0,0.2,0.5,0.0,1.0,0.75,0.0,0.5,1.0,0.19304099999999996,,,0.22000000000000003,0.0,0.4,2,True,negative,True,True,True,True,2,0
sst2_validation_0004,sst2,llama-3.3-70b-versatile,positive,positive,0.0,True,False,378,106,1f15d549cc74ae6d,0.5,,0.42857142857142855,,0.5,,0.75,,0.6,,0.75,,0.21981599999999996,,,0.5,0.5,,1,False,positive,True,True,False,True,2,2
sst2_validation_0005,sst2,llama-3.3-70b-versatile,positive,positive,0.0,True,False,369,67,ac9a9f698f4c0eba,0.25,0.2,1.0,0.0,0.25,0.2,0.4,1.0,1.0,0.0,0.4,1.0,0.31928499999999993,0.39999999999999997,0.7,0.18,0.25,0.2,2,True,negative,True,True,True,True,3,0
sst2_validation_0006,sst2,llama-3.3-70b-versatile,negative,negative,0.0,True,False,364,63,50f5b42b5c34d301,,0.2,0.6666666666666666,,,0.2,,1.0,0.8,,,1.0,0.30616299999999996,0.6666666666666669,0.8333333333333335,0.2,,0.2,1,True,positive,True,False,True,True,1,1
sst2_validation_0007,sst2,llama-3.3-70b-versatile,positive,positive,0.0,True,False,372,79,63718fc189536913,0.4,0.16666666666666666,0.42857142857142855,0.3333333333333333,0.4,0.16666666666666666,1.0,0.5,0.6,0.5,1.0,0.5,0.31981599999999993,,,0.29333333333333333,0.4,0.16666666666666666,2,True,negative,True,True,True,True,2,1
sst2_validation_0008,sst2,llama-3.3-70b-versatile,negative,negative,0.0,True,False,367,76,b00a643964e1a260,0.16666666666666666,0.2,0.42857142857142855,0.0,0.4,0.2,0.5,1.0,0.6,0.0,1.0,1.0,0.22004099999999996,,,0.19333333333333336,0.16666666666666666,0.2,2,True,positive,True,True,True,True,2,0
sst2_validation_0009,sst2,llama-3.3-70b-versatile,positive,positive,0.0,True,False,358,44,741aee97f6968c27,,0.5,,,,,,1.0,,,,,,,,,,,0,True,negative,True,False,True,False,0,0
