instance_id,dataset,model,ground_truth_label,predicted_label,confidence,correct,model_refused,prompt_tokens,response_tokens,prompt_hash,jaccard_H_R,jaccard_H_CF,jaccard_H_RO,jaccard_R_CF,jaccard_R_RO,jaccard_CF_RO,kendall_H_RO,normalized_kendall_H_RO,ecs,cf_flip_verified,cf_actual_label,highlighting_parsed,rationale_parsed,counterfactual_parsed,rank_ordering_parsed,cc3_size,cc4_size
sst2_validation_0000,sst2,llama-3.3-70b-versatile,negative,negative,0.9,True,False,293,63,ebbb14848c53a1f0,0.0,,0.8,,0.14285714285714285,,0.0,0.5,0.3142857142857143,False,,True,True,False,True,0,0
sst2_validation_0001,sst2,llama-3.3-70b-versatile,negative,negative,0.8,True,False,266,56,ba03e9c7e06ebe6b,0.3333333333333333,,1.0,,0.3333333333333333,,0.33333333333333337,0.6666666666666667,0.5555555555555555,False,negative,True,True,False,True,1,1
sst2_validation_0002,sst2,llama-3.3-70b-versatile,negative,negative,0.9,True,False,275,57,632f05c570eb9781,0.42857142857142855,0.2,1.0,0.2,0.42857142857142855,0.2,0.6,0.8,0.40952380952380957,True,positive,True,True,True,True,3,1
sst2_validation_0003,sst2,llama-3.3-70b-versatile,positive,positive,0.9,True,False,282,54,6d3cc2d0162fdf8d,0.375,,1.0,,0.375,,0.9999999999999999,1.0,0.5833333333333334,False,positive,True,True,False,True,3,3
sst2_validation_0004,sst2,llama-3.3-70b-versatile,positive,positive,0.9,True,False,285,67,fe82006ca66ed1f5,0.5714285714285714,,1.0,,0.5714285714285714,,0.6,0.8,0.7142857142857143,False,positive,True,True,False,True,4,4
sst2_validation_0005,sst2,llama-3.3-70b-versatile,positive,positive,0.95,True,False,276,56,3fffe17d808c5583,0.25,0.2,1.0,0.0,0.25,0.2,0.9999999999999999,1.0,0.31666666666666665,True,negative,True,True,True,True,3,0
sst2_validation_0006,sst2,llama-3.3-70b-versatile,negative,negative,0.8,True,False,271,52,19716630de352c04,0.14285714285714285,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333334,0.6666666666666667,0.19047619047619047,True,positive,True,True,True,True,1,0
sst2_validation_0007,sst2,llama-3.3-70b-versatile,positive,positive,0.9,True,False,279,51,461ce7d654cf73ea,0.2857142857142857,,1.0,,0.2857142857142857,,0.7999999999999999,0.8999999999999999,0.5238095238095237,False,positive,True,True,False,True,2,2
sst2_validation_0008,sst2,llama-3.3-70b-versatile,negative,negative,0.8,True,False,274,60,68ac624bb5647ef1,0.25,0.25,0.8,0.0,0.2,0.2,0.6666666666666669,0.8333333333333335,0.2833333333333333,True,positive,True,True,True,True,2,0
sst2_validation_0009,sst2,llama-3.3-70b-versatile,positive,positive,0.8,True,False,265,46,0e78d798fc6c570a,0.5,0.5,,1.0,,,,,0.6666666666666666,True,negative,True,True,True,False,1,1
mnli_validation_matched_0000,mnli,llama-3.3-70b-versatile,neutral,contradiction,1.0,False,False,55,3,,,,,,,,,,,False,,False,False,False,False,0,0
mnli_validation_matched_0001,mnli,llama-3.3-70b-versatile,neutral,neutral,0.8,True,False,299,58,5d436fd01abbdb0b,0.0,,0.4,,0.16666666666666666,,,,0.18888888888888888,False,neutral,True,True,False,True,0,0
mnli_validation_matched_0002,mnli,llama-3.3-70b-versatile,entailment,entailment,0.9,True,False,302,70,ed542e8118eca549,0.5,,1.0,,0.5,,0.9999999999999999,1.0,0.6666666666666666,False,entailment,True,True,False,True,4,4
mnli_validation_matched_0003,mnli,llama-3.3-70b-versatile,contradiction,contradiction,1.0,True,False,313,66,fd7769715006e52e,0.16666666666666666,,0.6666666666666666,,0.16666666666666666,,,,0.3333333333333333,False,contradiction,True,True,False,True,2,2
mnli_validation_matched_0004,mnli,llama-3.3-70b-versatile,entailment,entailment,1.0,True,False,308,59,b34d47449d2d0db3,0.1111111111111111,,0.3076923076923077,,0.11764705882352941,,0.0,0.5,0.1788168258756494,False,entailment,True,True,False,True,1,1
mnli_validation_matched_0005,mnli,llama-3.3-70b-versatile,contradiction,contradiction,1.0,True,False,290,57,2f89b9a7a4a49b69,0.6,,1.0,,0.6,,1.0,1.0,0.7333333333333334,False,contradiction,True,True,False,True,3,3
mnli_validation_matched_0006,mnli,llama-3.3-70b-versatile,neutral,entailment,0.9,False,False,47,3,,,,,,,,,,,False,,False,False,False,False,0,0
mnli_validation_matched_0007,mnli,llama-3.3-70b-versatile,contradiction,contradiction,1.0,True,False,291,62,728037a82366269d,0.0,,0.75,,0.0,,1.0,1.0,0.25,False,contradiction,True,True,False,True,0,0
mnli_validation_matched_0008,mnli,llama-3.3-70b-versatile,entailment,entailment,1.0,True,False,297,65,7596e1e223125816,0.125,0.16666666666666666,1.0,0.2,0.125,0.16666666666666666,0.3333333333333334,0.6666666666666667,0.2972222222222222,True,neutral,True,True,True,True,1,1
ag_news_test_0000,ag_news,llama-3.3-70b-versatile,Business,Business,1.0,True,False,303,59,6158484b6651713a,0.0,,0.6666666666666666,,0.1111111111111111,,,,0.25925925925925924,False,Business,True,True,False,True,0,0
ag_news_test_0001,ag_news,llama-3.3-70b-versatile,World,World,1.0,True,False,311,58,508b76f724cb3bc4,0.2222222222222222,,0.6666666666666666,,0.2222222222222222,,,,0.3703703703703704,False,World,True,True,False,True,2,2
