instance_id,dataset,model,ground_truth_label,predicted_label,confidence,correct,model_refused,prompt_tokens,response_tokens,prompt_hash,jaccard_H_R,jaccard_H_CF,jaccard_H_RO,jaccard_R_CF,jaccard_R_RO,jaccard_CF_RO,kendall_H_RO,normalized_kendall_H_RO,ecs,cf_flip_verified,cf_actual_label,highlighting_parsed,rationale_parsed,counterfactual_parsed,rank_ordering_parsed,cc3_size,cc4_size
sst2_validation_0000,sst2,openai/gpt-oss-120b:free,negative,negative,0.95,True,False,293,33,ebbb14848c53a1f0,0.8,0.25,0.8,0.2,0.6666666666666666,0.2,0.3333333333333334,0.6666666666666667,0.48611111111111116,True,positive,True,True,True,True,4,1
sst2_validation_0001,sst2,openai/gpt-oss-120b:free,negative,positive,0.7,False,False,26,1,,,,,,,,,,,False,,False,False,False,False,0,0
sst2_validation_0002,sst2,openai/gpt-oss-120b:free,negative,negative,0.92,True,False,275,30,632f05c570eb9781,1.0,,0.6666666666666666,,0.6666666666666666,,1.0,1.0,0.7777777777777777,False,negative,True,True,False,True,4,4
sst2_validation_0003,sst2,openai/gpt-oss-120b:free,positive,positive,0.9,True,False,282,33,6d3cc2d0162fdf8d,0.5,,0.8,,0.42857142857142855,,1.0,1.0,0.5761904761904763,False,positive,True,True,False,True,3,3
sst2_validation_0004,sst2,openai/gpt-oss-120b:free,positive,positive,0.85,True,False,285,32,fe82006ca66ed1f5,0.6666666666666666,,1.0,,0.6666666666666666,,0.9999999999999999,1.0,0.7777777777777777,False,positive,True,True,False,True,4,4
sst2_validation_0005,sst2,openai/gpt-oss-120b:free,positive,positive,0.85,True,False,276,26,3fffe17d808c5583,0.8,0.0,0.5,0.0,0.6666666666666666,0.2,1.0,1.0,0.36111111111111116,True,negative,True,True,True,True,3,0
sst2_validation_0006,sst2,openai/gpt-oss-120b:free,negative,negative,0.8,True,False,271,30,19716630de352c04,0.5,,,,,,,,,False,negative,True,True,False,False,0,0
sst2_validation_0007,sst2,openai/gpt-oss-120b:free,positive,positive,0.95,True,False,279,25,461ce7d654cf73ea,1.0,0.2,1.0,0.2,1.0,0.2,0.9999999999999999,1.0,0.6000000000000001,True,negative,True,True,True,True,5,1
sst2_validation_0008,sst2,openai/gpt-oss-120b:free,negative,negative,0.82,True,False,274,29,68ac624bb5647ef1,1.0,,1.0,,1.0,,0.9999999999999999,1.0,1.0,False,negative,True,True,False,True,5,5
sst2_validation_0009,sst2,openai/gpt-oss-120b:free,positive,positive,0.8,True,False,265,30,0e78d798fc6c570a,1.0,0.5,,0.5,,,,,0.6666666666666666,True,negative,True,True,True,False,1,1
