instance_id,dataset,model,ground_truth_label,predicted_label,confidence,correct,model_refused,prompt_tokens,response_tokens,prompt_hash,jaccard_H_R,jaccard_H_CF,jaccard_H_RO,jaccard_R_CF,jaccard_R_RO,jaccard_CF_RO,kendall_H_RO,normalized_kendall_H_RO,ecs,cf_flip_verified,cf_actual_label,highlighting_parsed,rationale_parsed,counterfactual_parsed,rank_ordering_parsed,cc3_size,cc4_size
sst2_validation_0000,sst2,openai/gpt-oss-120b,negative,negative,0.0,True,False,290,52,cb4f063c0376ab79,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,0.3333333333333334,0.6666666666666667,0.6666666666666666,False,negative,True,True,False,True,3,3
sst2_validation_0001,sst2,openai/gpt-oss-120b,negative,positive,0.0,False,False,23,1,,,,,,,,,,,False,,False,False,False,False,0,0
sst2_validation_0002,sst2,openai/gpt-oss-120b,negative,negative,0.0,True,False,272,21,2e2ef0e5cd8ece6c,0.6666666666666666,,1.0,,0.6666666666666666,,0.9999999999999999,1.0,0.7777777777777777,False,,True,True,False,True,4,4
sst2_validation_0003,sst2,openai/gpt-oss-120b,positive,positive,0.0,True,False,279,36,62feda1e67645d47,,,,0.25,1.0,0.25,,,0.5,True,negative,False,True,True,True,1,1
sst2_validation_0004,sst2,openai/gpt-oss-120b,positive,positive,0.75,True,False,282,23,1f15d549cc74ae6d,1.0,,1.0,,1.0,,0.39999999999999997,0.7,1.0,False,,True,True,False,True,5,5
sst2_validation_0005,sst2,openai/gpt-oss-120b,positive,positive,0.76,True,False,273,33,ac9a9f698f4c0eba,1.0,0.2,1.0,0.2,1.0,0.2,0.9999999999999999,1.0,0.6000000000000001,True,negative,True,True,True,True,5,1
sst2_validation_0006,sst2,openai/gpt-oss-120b,negative,negative,0.0,True,False,268,22,50f5b42b5c34d301,,,,,,,,,,False,,False,True,False,False,0,0
sst2_validation_0007,sst2,openai/gpt-oss-120b,positive,positive,0.9199999999999999,True,False,276,40,63718fc189536913,1.0,0.4,0.8,0.4,0.8,0.5,1.0,1.0,0.65,True,negative,True,True,True,True,4,2
sst2_validation_0008,sst2,openai/gpt-oss-120b,negative,negative,0.0,True,False,271,37,b00a643964e1a260,1.0,,0.6,,0.6,,1.0,1.0,0.7333333333333334,False,negative,True,True,False,True,3,3
sst2_validation_0009,sst2,openai/gpt-oss-120b,positive,positive,0.75,True,False,262,25,741aee97f6968c27,1.0,0.5,,0.5,,,,,0.6666666666666666,True,negative,True,True,True,False,1,1
mnli_validation_matched_0000,mnli,openai/gpt-oss-120b,neutral,neutral,0.0,True,False,292,31,d5633a126ae8c423,0.3333333333333333,,0.6,,0.3333333333333333,,1.0,1.0,0.4222222222222222,False,,True,True,False,True,1,1
mnli_validation_matched_0001,mnli,openai/gpt-oss-120b,neutral,neutral,0.0,True,False,296,65,9c46ed5be80cbed9,0.14285714285714285,,0.6,,0.3333333333333333,,1.0,1.0,0.35873015873015873,False,,True,True,False,True,1,1
mnli_validation_matched_0002,mnli,openai/gpt-oss-120b,entailment,entailment,0.0,True,False,299,35,3aaebb0a45f286c3,0.8,,0.6666666666666666,,0.5,,-0.3333333333333334,0.33333333333333326,0.6555555555555556,False,,True,True,False,True,3,3
mnli_validation_matched_0003,mnli,openai/gpt-oss-120b,contradiction,contradiction,0.0,True,False,310,23,9603de0e31d8f629,0.6666666666666666,,1.0,,0.6666666666666666,,0.33333333333333337,0.6666666666666667,0.7777777777777777,False,,True,True,False,True,4,4
mnli_validation_matched_0004,mnli,openai/gpt-oss-120b,entailment,entailment,0.0,True,False,305,22,2ca9e2aad190469d,0.75,,1.0,,0.75,,1.0,1.0,0.8333333333333334,False,,True,True,False,True,3,3
mnli_validation_matched_0005,mnli,openai/gpt-oss-120b,contradiction,contradiction,0.0,True,False,287,23,18b3b8ffa674b363,0.4,,1.0,,0.4,,0.33333333333333337,0.6666666666666667,0.6,False,,True,True,False,True,2,2
mnli_validation_matched_0006,mnli,openai/gpt-oss-120b,neutral,neutral,0.0,True,False,284,29,fba612cac83b9a15,0.42857142857142855,,1.0,,0.42857142857142855,,0.9999999999999999,1.0,0.6190476190476191,False,,True,True,False,True,3,3
mnli_validation_matched_0007,mnli,openai/gpt-oss-120b,contradiction,contradiction,0.0,True,False,288,26,793a8d1dda9ca3e0,,,,,0.5,,,,,False,,False,True,False,True,0,0
mnli_validation_matched_0008,mnli,openai/gpt-oss-120b,entailment,neutral,0.0,False,False,54,1,,,,,,,,,,,False,,False,False,False,False,0,0
ag_news_test_0000,ag_news,openai/gpt-oss-120b,Business,Business,0.85,True,False,300,25,d9cc2f1c2a401c2a,0.25,,0.25,,0.6666666666666666,,,,0.38888888888888884,False,,True,True,False,True,1,1
ag_news_test_0001,ag_news,openai/gpt-oss-120b,World,World,0.93,True,False,308,25,34f8f0bbd178d7da,0.25,,0.42857142857142855,,0.42857142857142855,,,,0.36904761904761907,False,,True,True,False,True,2,2
ag_news_test_0002,ag_news,openai/gpt-oss-120b,World,World,0.9199999999999999,True,False,303,27,d1c55024370f2e12,,,,,0.6666666666666666,,,,,False,,False,True,False,True,0,0
ag_news_test_0003,ag_news,openai/gpt-oss-120b,Sci/Tech,Sci/Tech,0.9199999999999999,True,False,297,24,362cc0a1227d48a0,1.0,,1.0,,1.0,,1.0,1.0,1.0,False,,True,True,False,True,5,5
ag_news_test_0004,ag_news,openai/gpt-oss-120b,Business,Business,0.0,True,False,290,51,3aa17e5b8e6b2bae,1.0,0.2,0.6666666666666666,0.2,0.6666666666666666,0.2,0.33333333333333337,0.6666666666666667,0.48888888888888893,True,Sports,True,True,True,True,4,1
ag_news_test_0005,ag_news,openai/gpt-oss-120b,Sci/Tech,Sci/Tech,0.65,True,False,320,85,4bca8da7ad03dac3,0.42857142857142855,0.2,0.42857142857142855,0.2,0.6666666666666666,0.2,,,0.353968253968254,True,World,True,True,True,True,3,1
ag_news_test_0006,ag_news,openai/gpt-oss-120b,Sports,Sports,0.0,True,False,294,22,1ed0148e7838e3a9,0.42857142857142855,,0.8,,0.2857142857142857,,1.0,1.0,0.5047619047619047,False,,True,True,False,True,2,2
ag_news_test_0007,ag_news,openai/gpt-oss-120b,Sports,Sports,0.0,True,False,308,18,97373d2318f574eb,1.0,,1.0,,1.0,,,,1.0,False,,True,True,False,True,5,5
