instance_id,dataset,model,ground_truth_label,predicted_label,confidence,correct,model_refused,prompt_tokens,response_tokens,prompt_hash,jaccard_H_R,jaccard_H_CF,jaccard_H_RO,jaccard_R_CF,jaccard_R_RO,jaccard_CF_RO,kendall_H_RO,normalized_kendall_H_RO,ecs,cf_flip_verified,cf_actual_label,highlighting_parsed,rationale_parsed,counterfactual_parsed,rank_ordering_parsed,cc3_size,cc4_size
sst2_validation_0000,sst2,llama-3.3-70b-versatile,negative,negative,0.97,True,False,226,75,cb4f063c0376ab79,0.3333333333333333,0.09090909090909091,0.3333333333333333,0.2727272727272727,0.5,0.2727272727272727,,,0.3005050505050505,False,negative,True,True,True,True,2,1
sst2_validation_0001,sst2,llama-3.3-70b-versatile,negative,negative,0.79,True,False,199,39,a447a2ee53afc6bc,0.6666666666666666,,0.6666666666666666,,1.0,,,,0.7777777777777777,False,,True,True,False,True,2,2
sst2_validation_0002,sst2,llama-3.3-70b-versatile,negative,negative,0.79,True,False,208,51,2e2ef0e5cd8ece6c,0.6,0.0,0.6,0.2,1.0,0.2,,,0.43333333333333335,False,negative,True,True,True,True,4,0
sst2_validation_0003,sst2,llama-3.3-70b-versatile,positive,positive,0.79,True,False,215,63,62feda1e67645d47,0.6,0.3333333333333333,0.6,0.2,1.0,0.2,,,0.48888888888888893,False,positive,True,True,True,True,3,1
sst2_validation_0004,sst2,llama-3.3-70b-versatile,positive,positive,0.97,True,False,218,67,1f15d549cc74ae6d,0.75,0.2857142857142857,0.6,0.42857142857142855,0.8,0.5714285714285714,,,0.5726190476190475,False,positive,True,True,True,True,4,2
sst2_validation_0005,sst2,llama-3.3-70b-versatile,positive,positive,0.97,True,False,209,53,ac9a9f698f4c0eba,0.75,0.3333333333333333,0.6,0.25,0.8,0.2,,,0.48888888888888893,True,negative,True,True,True,True,3,1
sst2_validation_0006,sst2,llama-3.3-70b-versatile,negative,negative,0.79,True,False,204,42,50f5b42b5c34d301,0.6,0.3333333333333333,0.6,0.2,0.6666666666666666,0.2,,,0.43333333333333335,True,positive,True,True,True,True,3,1
sst2_validation_0007,sst2,llama-3.3-70b-versatile,positive,positive,0.97,True,False,212,45,63718fc189536913,0.75,0.3333333333333333,0.6,0.25,0.8,0.2,,,0.48888888888888893,False,positive,True,True,True,True,3,1
sst2_validation_0008,sst2,llama-3.3-70b-versatile,negative,negative,0.79,True,False,207,53,b00a643964e1a260,0.75,0.3333333333333333,0.75,0.25,1.0,0.25,,,0.5555555555555555,True,positive,True,True,True,True,3,1
sst2_validation_0009,sst2,llama-3.3-70b-versatile,positive,positive,0.79,True,False,198,32,741aee97f6968c27,1.0,,1.0,,1.0,,,,1.0,False,,True,True,False,True,2,2
mnli_validation_matched_0000,mnli,llama-3.3-70b-versatile,neutral,contradiction,0.97,False,False,52,1,,,,,,,,,,,False,,False,False,False,False,0,0
mnli_validation_matched_0001,mnli,llama-3.3-70b-versatile,neutral,neutral,0.79,True,False,232,57,9c46ed5be80cbed9,0.5,,1.0,,0.5,,,,0.6666666666666666,False,,True,True,False,True,1,1
mnli_validation_matched_0002,mnli,llama-3.3-70b-versatile,entailment,entailment,0.79,True,False,235,59,3aaebb0a45f286c3,0.5,0.14285714285714285,0.5,0.2857142857142857,0.6,0.2857142857142857,,,0.3857142857142857,True,neutral,True,True,True,True,3,2
mnli_validation_matched_0003,mnli,llama-3.3-70b-versatile,contradiction,contradiction,0.97,True,False,246,73,9603de0e31d8f629,0.6,0.14285714285714285,0.75,0.23809523809523808,0.8,0.19047619047619047,,,0.45357142857142857,True,neutral,True,True,True,True,4,3
mnli_validation_matched_0004,mnli,llama-3.3-70b-versatile,entailment,entailment,0.79,True,False,241,64,2ca9e2aad190469d,0.5,0.13333333333333333,0.5,0.26666666666666666,1.0,0.26666666666666666,,,0.4444444444444444,True,neutral,True,True,True,True,4,2
mnli_validation_matched_0005,mnli,llama-3.3-70b-versatile,contradiction,contradiction,0.97,True,False,223,46,18b3b8ffa674b363,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,,,0.5,False,contradiction,True,True,True,True,3,0
mnli_validation_matched_0006,mnli,llama-3.3-70b-versatile,neutral,entailment,0.79,False,False,44,1,,,,,,,,,,,False,,False,False,False,False,0,0
mnli_validation_matched_0007,mnli,llama-3.3-70b-versatile,contradiction,contradiction,0.97,True,False,224,48,793a8d1dda9ca3e0,0.6666666666666666,0.2222222222222222,0.5,0.3333333333333333,0.75,0.4444444444444444,,,0.48611111111111116,True,entailment,True,True,True,True,3,2
mnli_validation_matched_0008,mnli,llama-3.3-70b-versatile,entailment,entailment,0.79,True,False,230,39,9f4a45e5e4e37481,0.6,0.23076923076923078,0.6,0.38461538461538464,1.0,0.38461538461538464,,,0.5333333333333333,True,neutral,True,True,True,True,5,3
ag_news_test_0000,ag_news,llama-3.3-70b-versatile,Business,Business,0.79,True,False,236,74,d9cc2f1c2a401c2a,0.6,,0.6,,1.0,,,,0.7333333333333334,False,,True,True,False,True,3,3
ag_news_test_0001,ag_news,llama-3.3-70b-versatile,World,World,0.79,True,False,244,80,34f8f0bbd178d7da,0.6,0.09523809523809523,0.6,0.13636363636363635,0.6666666666666666,0.13636363636363635,,,0.37243867243867235,False,World,True,True,True,True,3,2
ag_news_test_0002,ag_news,llama-3.3-70b-versatile,World,World,0.79,True,False,239,71,d1c55024370f2e12,0.3333333333333333,0.15,0.6,0.19047619047619047,0.6666666666666666,0.25,,,0.36507936507936506,False,World,True,True,True,True,5,2
ag_news_test_0003,ag_news,llama-3.3-70b-versatile,Sci/Tech,Sci/Tech,0.79,True,False,233,65,362cc0a1227d48a0,0.6,0.15789473684210525,0.6,0.2631578947368421,0.6666666666666666,0.2631578947368421,,,0.42514619883040927,False,Sci/Tech,True,True,True,True,4,3
ag_news_test_0004,ag_news,llama-3.3-70b-versatile,Business,Sci/Tech,0.79,False,False,50,1,,,,,,,,,,,False,,False,False,False,False,0,0
ag_news_test_0005,ag_news,llama-3.3-70b-versatile,Sci/Tech,World,0.79,False,False,80,1,,,,,,,,,,,False,,False,False,False,False,0,0
ag_news_test_0006,ag_news,llama-3.3-70b-versatile,Sports,Sports,0.97,True,False,230,63,1ed0148e7838e3a9,1.0,0.25,1.0,0.25,1.0,0.25,,,0.625,False,Sports,True,True,True,True,5,5
