instance_id,dataset,model,ground_truth_label,predicted_label,confidence,correct,model_refused,prompt_tokens,response_tokens,prompt_hash,jaccard_H_R,jaccard_H_CF,jaccard_H_RO,jaccard_R_CF,jaccard_R_RO,jaccard_CF_RO,overlap_H_R,overlap_H_CF,overlap_H_RO,overlap_R_CF,overlap_R_RO,overlap_CF_RO,rbo_H_RO,kendall_H_RO,normalized_kendall_H_RO,ecs,ecs_overlap,ecs_random,ecs_lift,ecs_random_weighted,ecs_lift_weighted,ecs_extraction_rationale,ecs_extraction_perturbation,ecs_primary_pairs,ecs_adj,ecs_adj_er,ecs_adj_ep,ecs_adj_rp,ecs_adj_n_components,ecs_adj_complete,n_degenerate_pairs,cf_flip_verified,cf_valid_first_attempt,cf_corrected,ro_self_corrected,cf_actual_label,highlighting_parsed,rationale_parsed,counterfactual_parsed,rank_ordering_parsed,cc3_size,cc4_size
sst2_validation_000665,sst2,eu.amazon.nova-pro-v1:0,positive,positive,0.85,True,False,1402,453,3c96c3fc1045fafc,0.5,,0.6,,0.5,,1.0,,0.75,,1.0,,0.18067499999999997,,,0.5,1.0,0.1719749999999966,0.3280250000000034,0.1766999999999965,0.3233000000000035,0.5,,2,1.0,1.0,,,1,False,0,False,False,False,False,,True,True,False,True,2,2
sst2_validation_000657,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.95,True,False,970,290,b68aba988a2aa373,0.6,,1.0,,0.6,,1.0,,1.0,,1.0,,0.32004099999999996,,,0.6,1.0,0.28805000000000236,0.3119499999999976,0.3904285714285797,0.2095714285714203,0.6,,2,1.0,1.0,,,1,False,0,False,False,False,False,,True,True,False,True,3,3
sst2_validation_000361,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.95,True,False,1362,426,53ae850b6f80a8dd,0.6666666666666666,0.6,0.4,0.6666666666666666,0.5,0.4,1.0,0.75,0.6666666666666666,1.0,1.0,0.6666666666666666,0.23544999999999994,,,0.5666666666666667,0.8833333333333334,0.25516543650793666,0.31150123015873,0.25850273809523816,0.3081639285714285,0.5833333333333333,0.5,4,0.8050664526744363,1.0,0.415199358023309,1.0,3,True,0,True,True,False,True,positive,True,True,True,True,3,2
sst2_validation_000394,sst2,eu.amazon.nova-pro-v1:0,positive,positive,0.85,True,False,1449,576,67a8763d00facc6b,0.2857142857142857,0.2,0.42857142857142855,0.16666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.4,1.0,0.5,1.0,0.6666666666666666,0.31734154285714283,,,0.3304761904761905,0.7133333333333333,0.1237351515151501,0.20674103896104037,0.12915748917748762,0.20131870129870286,0.47619047619047616,0.26666666666666666,4,0.48090304216141394,1.0,0.21265880297597442,0.23005032350826737,3,True,0,True,True,False,False,negative,True,True,True,True,3,1
sst2_validation_000228,sst2,eu.amazon.nova-pro-v1:0,positive,positive,0.85,True,False,956,303,121db9f475afa812,0.25,,0.5,,0.6666666666666666,,0.5,,0.6666666666666666,,1.0,,0.13545,,,0.4583333333333333,0.75,0.20264583333333386,0.25568749999999946,0.21020833333333394,0.24812499999999937,0.4583333333333333,,2,0.5483870967741935,0.5483870967741935,,,1,False,0,False,False,False,False,,True,True,False,True,1,1
sst2_validation_000188,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.95,True,False,1213,349,6c16dd54d427ba05,0.3333333333333333,,0.5,,0.3333333333333333,,1.0,,0.6666666666666666,,1.0,,0.2986749999999999,,,0.3333333333333333,1.0,0.11183333333333433,0.22149999999999898,0.12116666666666792,0.2121666666666654,0.3333333333333333,,2,1.0,1.0,,,1,False,0,False,False,False,True,,True,True,False,True,1,1
sst2_validation_000513,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.8,True,False,1363,495,66ffc0207e802d03,,0.1,0.2222222222222222,,,0.42857142857142855,,0.2,0.4,,,0.6,0.10937699999999999,,,0.2642857142857143,0.4,0.21011994047619123,0.05416577380952306,0.2125199404761911,0.051765773809523186,,0.2642857142857143,2,0.04698025420359066,,0.04698025420359066,,1,False,0,True,True,False,False,positive,True,False,True,True,1,1
sst2_validation_000010,sst2,eu.amazon.nova-pro-v1:0,positive,positive,0.95,True,False,958,311,d9ae1018167dba5e,0.16666666666666666,,0.5,,0.16666666666666666,,0.3333333333333333,,0.6666666666666666,,0.3333333333333333,,0.2986749999999999,,,0.16666666666666666,0.3333333333333333,0.29554583333332946,-0.1288791666666628,0.30427916666666144,-0.13761249999999478,0.16666666666666666,,2,-0.28608923884514453,-0.28608923884514453,,,1,False,0,False,False,False,False,,True,True,False,True,1,1
sst2_validation_000529,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.95,True,False,1176,437,b04c96a0a49e1956,0.375,0.4444444444444444,0.6666666666666666,0.75,0.5714285714285714,0.625,0.6,0.8,0.8,1.0,0.8,1.0,0.3963879999999999,1.0,1.0,0.5531746031746032,0.8400000000000001,0.2451684423909449,0.3080061607836583,0.25228917055167266,0.30088543262293055,0.4732142857142857,0.5347222222222222,4,0.7248183942572771,0.41432408712534236,0.7601310956464891,1.0,3,True,0,True,True,False,False,positive,True,True,True,True,5,3
sst2_validation_000007,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.9,True,False,1425,328,bed5ce4a26311b72,0.2,,0.5,,0.2,,0.3333333333333333,,0.6666666666666666,,0.3333333333333333,,0.24399999999999994,,,0.2,0.3333333333333333,0.3629500000000034,-0.16295000000000337,0.64775,-0.44775000000000004,0.2,,2,-0.2598425196850394,-0.2598425196850394,,,1,False,0,False,False,False,True,negative,True,True,False,True,1,1
